,TPR,TDR,FPR,ACC,SHD,runtime
spc10_2_500_0.05.csv,0.840445295,0.937246272,0.015298288,0.948148148,4.5,0.012733333
spc10_2_500_0.01.csv,0.818302068,0.987407407,0.002952669,0.952592593,4.266666667,0.008333333
spc10_2_500_0.005.csv,0.814598365,0.987407407,0.002952669,0.951851852,4.3,0.0068
spc10_2_500_0.001.csv,0.773702594,0.983664021,0.00401936,0.941481481,5.033333333,0.006266667
spc10_2_1000_0.05.csv,0.880800403,0.951560477,0.014783499,0.958518519,3.6,0.0088
spc10_2_1000_0.01.csv,0.85476949,0.966877104,0.009161679,0.957037037,3.8,0.008333333
spc10_2_1000_0.005.csv,0.834112184,0.974149832,0.007111353,0.953333333,4.066666667,0.0078
spc10_2_1000_0.001.csv,0.82087889,0.974309764,0.007359878,0.94962963,4.166666667,0.008066667
spc10_2_5000_0.05.csv,0.939365403,0.966297961,0.011222373,0.975555556,2.333333333,0.0166
spc10_2_5000_0.01.csv,0.922116217,0.98248557,0.006318211,0.975555556,2.333333333,0.021533333
spc10_2_5000_0.005.csv,0.91044955,0.98248557,0.006318211,0.973333333,2.633333333,0.0208
spc10_2_5000_0.001.csv,0.901403966,0.981980519,0.006318211,0.971111111,2.733333333,0.022866667
spc10_2_10000_0.05.csv,0.946393791,0.962000222,0.013085514,0.976296296,2.633333333,0.021866667
spc10_2_10000_0.01.csv,0.935893181,0.987079587,0.005392285,0.98,2.2,0.0223
spc10_2_10000_0.005.csv,0.929995745,0.987079587,0.005392285,0.978518519,2.4,0.0283
spc10_2_10000_0.001.csv,0.927431642,0.986652237,0.005392285,0.977777778,2.366666667,0.033733333
spc20_2_500_0.05.csv,0.856176318,0.933203999,0.00700936,0.978245614,7.433333333,0.026366667
spc20_2_500_0.01.csv,0.827552534,0.978945869,0.001942021,0.979649123,7.266666667,0.022066667
spc20_2_500_0.005.csv,0.810619386,0.98422658,0.001359359,0.978421053,7.3,0.0227
spc20_2_500_0.001.csv,0.78004776,0.991196276,0.000781168,0.975614035,8.133333333,0.019966667
spc20_2_1000_0.05.csv,0.888982661,0.946596666,0.005633541,0.982807018,6.033333333,0.026333333
spc20_2_1000_0.01.csv,0.86673798,0.987356921,0.001165363,0.984385965,5.966666667,0.0262
spc20_2_1000_0.005.csv,0.863672345,0.989317706,0.000973792,0.984210526,6.033333333,0.027933333
spc20_2_1000_0.001.csv,0.84891102,0.989549187,0.000978407,0.982631579,6.433333333,0.020466667
spc20_2_5000_0.05.csv,0.953885078,0.955989378,0.005082951,0.990526316,3.633333333,0.038366667
spc20_2_5000_0.01.csv,0.937089278,0.992222222,0.000780154,0.99245614,3.1,0.036866667
spc20_2_5000_0.005.csv,0.9326097,0.993730159,0.000580553,0.992105263,3.333333333,0.035666667
spc20_2_5000_0.001.csv,0.917437857,0.991164021,0.000771029,0.990175439,3.9,0.041466667
spc20_2_10000_0.05.csv,0.962275388,0.951566194,0.005455805,0.991052632,3.166666667,0.055
spc20_2_10000_0.01.csv,0.95105954,0.992194027,0.000778966,0.994035088,2.533333333,0.0684
spc20_2_10000_0.005.csv,0.949610264,0.99427736,0.00058849,0.994035088,2.5,0.05
spc20_2_10000_0.001.csv,0.94297434,0.995952381,0.000390077,0.993508772,2.766666667,0.060166667
spc30_2_500_0.05.csv,0.849413902,0.912880919,0.005661237,0.984061303,13.13333333,0.040866667
spc30_2_500_0.01.csv,0.816670549,0.965175116,0.002067099,0.9851341,11.76666667,0.040933333
spc30_2_500_0.005.csv,0.802940322,0.973253271,0.001573579,0.984597701,12.23333333,0.0307
spc30_2_500_0.001.csv,0.775949132,0.979447592,0.00115846,0.983065134,13.06666667,0.0406
spc30_2_1000_0.05.csv,0.889630444,0.911792979,0.006159263,0.986283525,11.43333333,0.059066667
spc30_2_1000_0.01.csv,0.860082751,0.970342836,0.001897881,0.988199234,10,0.047033333
spc30_2_1000_0.005.csv,0.858875125,0.971480536,0.001817052,0.988199234,10.03333333,0.044566667
