"","TPR","TDR","FPR","ACC","SHD","runtime"
"opc10_2_500_1_0.05.csv",0.833333333333333,0.833333333333333,0.0606060606060606,0.911111111111111,7,0.137
"opc10_2_500_2_0.05.csv",0.8,1,0,0.955555555555556,6,0.00600000000000001
"opc10_2_500_3_0.05.csv",0.875,0.875,0.027027027027027,0.955555555555556,2,0.00399999999999989
"opc10_2_500_4_0.05.csv",0.785714285714286,1,0,0.933333333333333,6,0.017
"opc10_2_500_5_0.05.csv",0.833333333333333,0.833333333333333,0.0256410256410256,0.955555555555556,2,0.004
"opc10_2_500_6_0.05.csv",1,1,0,1,0,0.004
"opc10_2_500_7_0.05.csv",0.846153846153846,1,0,0.955555555555556,7,0.00800000000000001
"opc10_2_500_8_0.05.csv",0.888888888888889,1,0,0.977777777777778,2,0.00700000000000001
"opc10_2_500_9_0.05.csv",0.846153846153846,1,0,0.955555555555556,9,0.01
"opc10_2_500_10_0.05.csv",0.9,0.9,0.0285714285714286,0.955555555555556,2,0.00800000000000001
"opc10_2_500_11_0.05.csv",0.909090909090909,1,0,0.977777777777778,3,0.023
"opc10_2_500_12_0.05.csv",0.9,0.9,0.0285714285714286,0.955555555555556,3,0.005
"opc10_2_500_13_0.05.csv",0.909090909090909,0.833333333333333,0.0588235294117647,0.933333333333333,4,0.0099999999999999
"opc10_2_500_14_0.05.csv",1,0.888888888888889,0.027027027027027,0.977777777777778,2,0.00600000000000001
"opc10_2_500_15_0.05.csv",0.777777777777778,0.875,0.0277777777777778,0.933333333333333,4,0.005
"opc10_2_500_16_0.05.csv",0.666666666666667,1,0,0.911111111111111,10,0.00700000000000001
"opc10_2_500_17_0.05.csv",0.625,0.909090909090909,0.0344827586206897,0.844444444444444,11,0.00800000000000001
"opc10_2_500_18_0.05.csv",0.769230769230769,0.909090909090909,0.03125,0.911111111111111,9,0.00900000000000001
"opc10_2_500_19_0.05.csv",1,1,0,1,2,0.00700000000000001
"opc10_2_500_20_0.05.csv",0.888888888888889,1,0,0.977777777777778,2,0.005
"opc10_2_500_21_0.05.csv",1,1,0,1,0,0.00700000000000001
"opc10_2_500_22_0.05.csv",0.875,1,0,0.977777777777778,3,0.004
"opc10_2_500_23_0.05.csv",0.785714285714286,1,0,0.933333333333333,7,0.00700000000000001
"opc10_2_500_24_0.05.csv",1,1,0,1,0,0.004
"opc10_2_500_25_0.05.csv",0.615384615384615,0.888888888888889,0.03125,0.866666666666667,8,0.0069999999999999
"opc10_2_500_26_0.05.csv",0.625,0.833333333333333,0.027027027027027,0.911111111111111,6,0.00900000000000001
"opc10_2_500_27_0.05.csv",1,1,0,1,0,0.004
"opc10_2_500_28_0.05.csv",1,1,0,1,1,0.00600000000000001
"opc10_2_500_29_0.05.csv",0.555555555555556,0.714285714285714,0.0555555555555556,0.866666666666667,8,0.00500000000000012
"opc10_2_500_30_0.05.csv",1,0.857142857142857,0.0256410256410256,0.977777777777778,1,0.004
"opc10_2_500_1_0.01.csv",0.833333333333333,0.833333333333333,0.0606060606060606,0.911111111111111,7,0.0129999999999999
"opc10_2_500_2_0.01.csv",0.8,1,0,0.955555555555556,6,0.00499999999999989
"opc10_2_500_3_0.01.csv",0.875,1,0,0.977777777777778,1,0.004
"opc10_2_500_4_0.01.csv",0.714285714285714,0.909090909090909,0.032258064516129,0.888888888888889,7,0.0170000000000001
"opc10_2_500_5_0.01.csv",0.833333333333333,1,0,0.977777777777778,1,0.00299999999999989
"opc10_2_500_6_0.01.csv",1,1,0,1,0,0.004
"opc10_2_500_7_0.01.csv",0.769230769230769,1,0,0.933333333333333,7,0.00700000000000012
"opc10_2_500_8_0.01.csv",0.888888888888889,1,0,0.977777777777778,2,0.012
"opc10_2_500_9_0.01.csv",0.846153846153846,1,0,0.955555555555556,9,0.00800000000000001
"opc10_2_500_10_0.01.csv",0.9,1,0,0.977777777777778,1,0.0489999999999999
"opc10_2_500_11_0.01.csv",0.727272727272727,0.888888888888889,0.0294117647058824,0.911111111111111,6,0.00499999999999989
"opc10_2_500_12_0.01.csv",0.9,1,0,0.977777777777778,2,0.004
"opc10_2_500_13_0.01.csv",0.909090909090909,1,0,0.977777777777778,2,0.0069999999999999
"opc10_2_500_14_0.01.csv",1,1,0,1,0,0.00600000000000001
"opc10_2_500_15_0.01.csv",0.666666666666667,1,0,0.933333333333333,4,0.00600000000000001
